id,title,price,sold_quantity,available_quantity,condition,site_id,category_id
MLA1180034732,Convertidor Smart Tv Android Xiaomi Mi Tv Stick Chromecast  ,95045.84,50,1,new,MLA,MLA352001
MLA873141768,Xiaomi Mi Tv Stick Full Hd Android Chromecast Netflix Amazon,119999,5,500,new,MLA,MLA352001
MLA1413417988,Xiaomi Mi Tv Stick Full Hd 8gb 1gb Ram Android Almagro,59999,2,1,new,MLA,MLA352001
MLA1468960028,Convertidor Smart Full Hd Android Chromecast Amazon Netflix,106077.79,2,50,new,MLA,MLA352001
MLA1131155678,Tv Box Xiaomi Mi Tv Stick,74800,4,1,new,MLA,MLA352001
MLA1387327219,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb - Control,43000,2,1,new,MLA,MLA352001
MLA1330407141,Mi Tv Stick ,132097.29,1,1,new,MLA,MLA352001
MLA1387938001,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb - Outlet,45325,0,1,new,MLA,MLA352001
MLA1480941548,Xiaomi Mi Tv Stick Mdz-24-aa ,75810,0,1,new,MLA,MLA352001
MLA1330818578,Mi Tv Stick ,79258.37,0,1,new,MLA,MLA352001
MLA873142822,Xiaomi Mi Tv Stick Full Hd Android Chromecast Netflix Amazon,69999,25,500,new,MLA,MLA352001
MLA1504424630, Xiaomi Mi Tv Stick De Voz Full Hd 8gb Negro 1gb Ram,100561,0,1,new,MLA,MLA352001
MLA1149175419,Xiaomi Mi Tv Stick Convertidor De Smart Mdz-24-aa,54949,50,1,new,MLA,MLA352001
MLA1389317165,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb,57999,0,1,new,MLA,MLA352001
MLA1468909398,Xiaomi Mi Tv Stick Android Tv - Negro - 8 Gb -control De Voz,148067.79,0,50,new,MLA,MLA352001
MLA1369535299,Reloj Xiaomi Mi Smart Clock Chromecast Asistente De Google,95912,0,1,new,MLA,MLA352001
MLA1471700400,Xiaomi Mi Tv Stick Mdz-24-ab 8gb 1gb Ram Full Hd Android,68780,0,1,new,MLA,MLA352001
MLA1382081011,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Netflix Amazon,83859,0,1,new,MLA,MLA352001
MLA1496282826,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb - Con Voz,62206.27,0,1,new,MLA,MLA352001
MLA1152348527,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Negro 1gb,58999,0,1,new,MLA,MLA352001
MLA1386600869,Xiaomi Mi Tv,80000,0,1,new,MLA,MLA352001
MLA1381105305,Mi Tv Stick Xiaomi Android 9.0 Hdr 2k Hdmi - Xiaomi,56050,0,1,new,MLA,MLA352001
MLA924342731,Xiaomi Mi Tv Stick De Voz Full Hd 8gb Con 1gb De Memoria Ram,74469.18,50,1,new,MLA,MLA352001
MLA1361302711,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Negro 1gbram,60000,0,1,new,MLA,MLA352001
MLA1437460218,Dispositivo Para Streaming De Video/audio Xiaomi Mi Tv Stick,70999.92,0,1,new,MLA,MLA352001
MLA1400335498,Xiaomi Mi Tv Stick Mdz-24-aa Control Voz Full Hd 8gb 1gb Ram,71995,0,1,new,MLA,MLA352001
MLA1174435149,Xiaomi Mi Tv Stick Mdz-24-ab Full Hd 8gb - 1gb Ram Martinez,97483.5,4,1,new,MLA,MLA352001
MLA873144504,Xiaomi Mi Tv Stick Chromecast Full Hd Android Netflix Amazon,59999,25,500,new,MLA,MLA352001
MLA873144735,Xiaomi Mi Tv Stick Full Hd Android Streaming Netflix Amazon,89999,4,500,new,MLA,MLA352001
MLA1508202842,Xiaomi Mi Tv Stick Mdz-27-aa Cn 4k Uhd Conversor Smar Ppct,103295,0,1,new,MLA,MLA352001
MLA1508228602,Xiaomi Mi Tv Stick Mdz-27-aa Cn 4k Uhd Conversor Smart Tv An,64559,0,1,new,MLA,MLA352001
